PK,CCR,GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1084174,17197324,M,B,17,2017-10-12T18:10:00,"500 Block LARIMER AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Larimer,5,1204,9,2,-79.91445677,40.46522973
1084175,17197324,M,B,15,2017-10-12T18:10:00,"500 Block LAIMER AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Larimer,5,1204,9,2,-79.91445677,40.46522973
1084176,17197324,M,B,17,2017-10-12T18:10:00,"500 Block LARIMER AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Larimer,5,1204,9,2,-79.91445677,40.46522973
1084177,17197631,M,B,25,2017-10-13T03:31:00,"SHETLAND ST & FINLEY ST PITTSBURGH, PA ",5505 Public Drunkenness,Larimer,5,1208,9,2,-79.90757998,40.46083308
1084178,17197631,M,B,25,2017-10-13T03:31:00,"SHETLAND ST & FINELY ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Larimer,5,1208,9,2,-79.90757998,40.46083308
1084179,17198047,M,W,47,2017-10-13T17:32:00,"WOOD ST & FORBES AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-80.00082661,40.44008916
1084180,17198078,F,W,35,2017-10-13T17:30:00,"1800 Block E CARSON ST PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",South Side Flats,3,1702,3,3,-79.9802658,40.42847887
1084181,17198339,M,O,18,2017-10-14T01:13:00,"ROSEMOOR ST & LUDWICK ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Squirrel Hill South,4,1414,5,3,-79.92501201,40.42256316
1084182,17198345,M,W,22,2017-10-14T01:23:00,"SENNOTT ST & ATWOOD ST PITTSBURGH, PA ",601.08 (a) Open Container Law,Central Oakland,4,405,3,3,-79.95686651,40.44048192
1084183,17202486,M,B,34,2017-10-19T20:50:00,"E OHIO ST & MORAVIAN WY PITTSBURGH, PA ",5505 Public Drunkenness,East Allegheny,1,2304,1,1,-80.00112808,40.45337749
1084184,17205858,F,W,41,2017-10-24T17:07:00,"CROSSTOWN BL & 7TH AV PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Strip District,2,203,,,0,0
1084185,17205858,F,B,65,2017-10-24T17:12:00,"CROSSTOWN BL & 7TH AV PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Strip District,2,203,,,0,0
1084186,17206110,F,B,24,2017-10-25T00:35:00,"7100 Block FRANKSTOWN AV PITTSBURGH, PA ",607.03 Discharging Firearm or Airgun,,5,,9,2,-79.89848267,40.45783765
1084187,17198406,M,A,21,2017-10-14T02:58:00,"20 Block S 14TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98435063,40.42931707
1084188,17198786,M,B,27,2017-10-14T16:48:00,"S 12TH ST & E CARSON ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,South Side Flats,3,1702,3,3,-79.98642219,40.42874965
1084189,17198815,M,W,44,2017-10-14T17:15:00,"5400 Block MERE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Lincoln Place,4,3102,5,3,-79.91421586,40.369552
1084190,17198815,M,W,44,2017-10-14T17:15:00,"5400 Block MERE ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Lincoln Place,4,3102,5,3,-79.91421586,40.369552
1084191,17198821,M,B,23,2017-10-14T15:00:00,"1200 Block MURIEL ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,South Side Flats,3,1702,3,3,-79.98624021,40.42987774
1084192,17199026,F,W,26,2017-10-14T23:36:00,"60 Block S 17TH ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",South Side Flats,3,1702,3,3,-79.98210765,40.42998813
1084193,17199026,F,W,26,2017-10-14T23:36:00,"60 Block S 17TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98210765,40.42998813
1084194,17199036,M,B,24,2017-10-15T01:00:00,"50 Block MT OLIVER ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Side Slopes,3,1706,3,3,-79.9877009,40.42014908
1084195,17199036,F,O,58,2017-10-15T01:00:00,"50 Block MT OLIVER ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Side Slopes,3,1706,3,3,-79.9877009,40.42014908
1084196,17199100,M,W,20,2017-10-15T01:42:00,"3800 Block PIER ST PITTSBURGH, PA ","719.04 Loud Noises, Speaking Devices, Signs, Goods, Smoke and Strong Odors",Central Oakland,4,405,3,3,-79.95400521,40.43918937
1084197,17199168,F,W,24,2017-10-15T04:30:00,"PIONEER AV & DUNSTER ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Brookline,6,1917,4,5,-80.01596895,40.40244543
1084198,17199559,F,B,28,2017-10-15T18:51:00,"5000 Block LADORA WY PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Hazelwood,4,1501,5,3,-79.94761452,40.40772648
1084199,17199559,F,B,28,2017-10-15T18:51:00,"5000 Block LADORA WY PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Hazelwood,4,1501,5,3,-79.94761452,40.40772648
1084200,17200135,M,W,25,2017-10-16T16:00:00,"100 Block PERRY VIEW AV PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Perry North,1,2602,1,1,-80.02395457,40.49471802
1084201,17200353,F,B,23,2017-10-16T21:45:00,"100 Block THE BOULEVARD PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Carrick,3,2902,4,3,-79.98852946,40.40090546
1084202,17200912,M,B,31,2017-10-17T17:43:00,"HAMILTON AV & N DUNFERMLINE ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Homewood South,5,1303,9,2,-79.89424495,40.45388035
1084203,17201405,M,B,41,2017-10-18T12:25:00,"FT DUQUESNE BL & STANWIX ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Business District,2,201,6,6,-80.0046759,40.44345815
1084204,17201564,M,B,21,2017-10-18T16:11:00,"KNOX AV & RENTZ WY PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Knoxville,3,3001,3,5,-79.99063903,40.41696154
1084205,17201567,M,B,53,2017-10-18T16:16:00,"90 Block AMANDA AV PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Knoxville,3,3001,3,5,-79.98814008,40.41511574
1084206,17201775,M,B,55,2017-10-18T21:19:00,"5TH AV & SMITHFIELD ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-79.99864594,40.44008562
1084207,17201829,F,B,57,2017-10-18T23:06:00,"EAST OHIO ST & CEDAR AV PITTSBURGH, PA ",5505 Public Drunkenness,Allegheny Center,1,2204,1,1,-80.00169385,40.45331224
1084208,17202180,M,W,23,2017-10-14T01:30:00,"S 18TH ST & SARAH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98065191,40.42783836
1084209,17202374,M,W,32,2017-10-14T01:12:00,"E CARSON ST & S 15TH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,3,-79.98342493,40.42881518
1084210,17202374,M,W,32,2017-10-14T01:12:00,"E CARSON ST & S 15TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98342493,40.42881518
1084211,17202606,M,W,20,2017-10-20T00:19:00,"300 Block SEMPLE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Central Oakland,4,405,3,3,-79.95709363,40.43873757
1084221,17208146,M,B,33,2017-10-27T21:00:00,"900 Block PENN AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-79.99804356,40.4436107
1084222,17203214,F,W,39,2017-10-20T19:45:00,"3500 Block BRIGHTON RD PITTSBURGH, PA ",5505 Public Drunkenness,Central North Side,1,2503,1,1,-80.0309005,40.47948376
1084223,17203391,F,O,20,2017-10-21T00:14:00,"4700 Block ELLSWORTH AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Shadyside,4,709,8,2,-79.94718128,40.44813105
1084224,17203468,M,W,34,2017-10-21T02:06:00,"E CARSON ST & BECKS RUN RD PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1609,3,3,-79.95552339,40.41102458
1084225,17203497,M,W,22,2017-10-21T03:05:00,"90 Block S 15TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98364425,40.4282332
1084226,17203949,M,W,52,2017-10-21T19:50:00,"2500 Block BROWNSVILLE RD PITTSBURGH, PA ",601.10 (a) Spitting,Carrick,3,2904,4,3,-79.98114783,40.38668454
1084227,17203949,M,W,52,2017-10-21T19:50:00,"2500 Block BROWNSVILLE RD PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Carrick,3,2904,4,3,-79.98114783,40.38668454
1084228,17203949,M,W,52,2017-10-21T19:50:00,"2500 Block BROWNSVILLE RD PITTSBURGH, PA ",5505 Public Drunkenness,Carrick,3,2904,4,3,-79.98114783,40.38668454
1084229,17203949,M,W,52,2017-10-21T19:50:00,"2500 Block BROWNSVILLE RD PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Carrick,3,2904,4,3,-79.98114783,40.38668454
1084230,17204104,F,W,40,2017-10-22T00:20:00,"FRENCH ST & 9TH ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Central Business District,2,201,6,6,-79.99858389,40.44426195
1084231,17204104,F,W,40,2017-10-22T00:20:00,"FRENCH ST & 9TH ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-79.99858389,40.44426195
1084232,17204152,M,W,26,2017-10-22T01:28:00,"100 Block 9TH ST PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,Central Business District,2,201,3,3,-79.98969248,40.42720045
1084233,17204152,M,W,26,2017-10-22T01:28:00,"100 Block 9TH ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,3,3,-79.98969248,40.42720045
1084234,17204170,F,W,21,2017-10-22T02:15:00,"400 Block N NEVILLE ST PITTSBURGH, PA ",5503 Disorderly Conduct.,Shadyside,4,709,8,3,-79.94953823,40.45140073
1084235,17204171,F,B,27,2017-10-22T02:00:00,"S 18TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98056196,40.42875859
1084236,17204212,M,W,20,2017-10-22T03:15:00,"2600 Block 5TH AV PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",West Oakland,4,402,6,3,-79.96575985,40.43651311
1084237,17204436,M,B,28,2017-10-22T14:00:00,"1100 Block MILAN AV PITTSBURGH, PA ",3503(b)(1)(i) Actual Communication,Brookline,6,3206,4,5,-80.01465243,40.39371046
1084238,17204614,M,B,30,2017-10-22T19:12:00,"2400 Block SARAH ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Side Flats,3,1609,3,3,-79.97140725,40.42722254
1084239,17204724,M,W,26,2017-10-22T21:56:00,"700 Block W NORTH AV PITTSBURGH, PA ",5505 Public Drunkenness,Central North Side,1,2206,1,1,-80.01367081,40.4541985
1084240,17204876,M,B,25,2017-10-23T03:22:00,"1700 Block AMANDA ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Carrick,3,2902,4,3,-79.9878564,40.39860562
1084241,17205032,M,B,34,2017-10-23T12:20:00,"2ND AV & GLEN CALADH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Hazelwood,4,1515,5,3,-79.94384519,40.40915052
1084242,17205143,F,B,37,2017-10-23T15:57:00,"600 Block WOOD ST PITTSBURGH, PA ","601.16(b)(2) Any Person who urinates or defecates in, on, or about any public place w/o immediately cleaning and disposing of the material",Central Business District,2,201,6,6,-79.99942351,40.44209205
1084243,17205143,F,B,37,2017-10-23T15:57:00,"600 Block WOOD ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-79.99942351,40.44209205
1084244,17205218,M,B,38,2017-10-23T17:58:00,"4TH AV & WOOD ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Central Business District,2,201,6,6,-80.00130155,40.43937902
1084245,17205218,M,B,38,2017-10-23T17:58:00,"4TH AV & WOOD ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-80.00130155,40.43937902
1084246,17205972,M,W,26,2017-10-24T16:40:00,"BEACON ST & MULHATTAN ST PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill South,4,1408,5,3,-79.91649504,40.43475472
1084247,17206009,F,B,43,2017-10-24T21:00:00,"VIRGIN WY & CEDAR AV PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",East Allegheny,1,2304,1,1,-80.00158945,40.45298477
1084248,17204385,M,W,25,2017-10-22T01:00:00,"200 Block STATION SQ DR PITTSBURGH, PA ","601.16(b)(2) Any Person who urinates or defecates in, on, or about any public place w/o immediately cleaning and disposing of the material",South Shore,3,1921,,,0,0
1084249,17206407,M,W,36,2017-10-25T13:45:00,"600 Block BROOKLINE BL PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Brookline,6,1918,4,5,-80.02248557,40.39522082
1084250,17206479,M,B,36,2017-10-25T16:25:00,"EAST OHIO ST & MIDDLE ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,East Allegheny,1,2304,1,1,-79.99915909,40.4537522
1084251,17207447,F,H,23,2017-10-26T23:48:00,"S 17TH ST & E CARSON ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,South Side Flats,3,1702,3,3,-79.98204758,40.42883493
1084252,17207556,F,B,23,2017-10-27T02:52:00,"7100 Block CHURCHLAND ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Lincoln-Lemington-Belmar,5,1201,9,2,-79.8967488,40.47099908
1084253,17207556,F,B,23,2017-10-27T02:52:00,"7100 Block CHURCHLAND ST PITTSBURGH, PA ",5505 Public Drunkenness,Lincoln-Lemington-Belmar,5,1201,9,2,-79.8967488,40.47099908
1084254,17207556,M,B,24,2017-10-27T02:52:00,"7100 Block CHURCHLAND ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Lincoln-Lemington-Belmar,5,1201,9,2,-79.8967488,40.47099908
1084255,17206407,M,W,36,2017-10-25T13:15:00,"100 Block STEWART AV PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Brookline,3,1918,4,3,-79.97947622,40.38252712
1084256,17207766,M,B,34,2017-10-27T12:19:00,"WINFIELD ST & RAPIDAN WY PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Larimer,5,1204,9,2,-79.90944418,40.46423807
1084257,17207865,F,B,57,2017-10-27T14:39:00,"700 Block JAMES ST PITTSBURGH, PA ",5505 Public Drunkenness,East Allegheny,1,2304,1,1,-80.00053545,40.45350303
1084258,17207883,F,W,21,2017-10-27T00:45:00,"200 Block ATWOOD ST PITTSBURGH, PA ",6310.7 Sell/Furn. Non-Alcohol Beverage to Minors,Central Oakland,4,405,3,3,-79.95688887,40.44042041
1084259,17207973,M,W,49,2017-10-27T17:00:00,"2900 Block CAREY WY PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,South Side Flats,3,1609,3,3,-79.96440232,40.42482417
1084260,17207973,M,W,49,2017-10-27T17:00:00,"2900 Block CAREY WY PITTSBURGH, PA ","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",South Side Flats,3,1609,3,3,-79.96440232,40.42482417
1084261,17207984,M,B,25,2017-10-27T17:20:00,"100 Block JOCUNDA ST PITTSBURGH, PA ","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",Knoxville,3,3001,,,0,0
1084262,17208084,F,W,48,2017-10-27T19:32:00,"N EVALINE ST & KINCAID ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Garfield,5,1017,9,2,-79.94064212,40.46695431
1084263,17208084,F,B,13,2017-10-27T19:32:00,"N EVALINE ST & KINCAID ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Garfield,5,1017,9,2,-79.94064212,40.46695431
1084264,17208266,M,B,59,2017-10-28T00:37:00,"INDUSTRY WY & HABERMAN AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Beltzhoover,3,1809,3,5,-80.00245073,40.42065228
1084265,17208227,F,W,22,2017-10-28T01:03:00,"900 Block MARYLAND AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,,4,,8,2,-79.92835681,40.45183114
1084266,17 208279,M,B,26,2017-10-28T01:00:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,,3,,3,3,-79.98330671,40.42868483
1084267,17208283,M,W,25,2017-10-28T00:58:00,"300 Block NORTH SHORE DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,North Shore,1,2205,1,6,-80.01179547,40.44576994
1084268,17208283,M,W,25,2017-10-28T00:58:00,"300 Block NORTH SHORE DR PITTSBURGH, PA ",5505 Public Drunkenness,North Shore,1,2205,1,6,-80.01179547,40.44576994
1084269,17208298,M,W,23,2017-10-28T01:27:00,"300 Block N CRAIG ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,North Oakland,4,507,8,3,-79.94938724,40.44559065
1084270,17208308,M,B,38,2017-10-28T01:35:00,"4400 Block BUTLER ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Central Lawrenceville,2,901,7,2,-79.95946556,40.47138154
1084271,17208308,M,B,38,2017-10-28T01:35:00,"4400 Block BUTLER ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Central Lawrenceville,2,901,7,2,-79.95946556,40.47138154
1084272,17208312,F,W,21,2017-10-28T01:50:00,"100 Block S 17TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98215432,40.42852531
1084273,17208322,F,W,23,2017-10-28T02:07:00,"1200 Block BINGHAM ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98618421,40.42936938
1084274,17208322,F,W,23,2017-10-28T02:07:00,"1200 Block BINGHAM ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98618421,40.42936938
1084275,17208322,F,W,23,2017-10-28T02:07:00,"1200 Block BINGHAM ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.98618421,40.42936938
1084276,17208371,M,O,23,2017-10-28T03:23:00,"5400 Block 5TH AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Shadyside,4,703,8,3,-79.93311015,40.44868338
1084277,17208932,M,W,27,2017-10-28T23:10:00,"S 15TH ST & ROLAND ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,3,-79.98343519,40.42855549
1084278,17208983,M,W,20,2017-10-29T00:34:00,"100 Block CHESTERFIELD RD PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,West Oakland,4,402,8,3,-79.96177946,40.43944172
1084279,17208986,M,W,22,2017-10-29T00:33:00,"ROLAND ST & S 16TH ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98283645,40.42854098
1084280,17209004,F,W,23,2017-10-29T00:45:00,"ROLAND ST & S 15TH ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98343519,40.42855549
1084281,17209049,F,W,20,2017-10-29T01:51:00,"100 Block S 12TH ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",South Side Flats,3,1702,3,3,-79.98650031,40.42743711
1084282,17209049,F,W,20,2017-10-29T01:51:00,"100 Block S 12TH ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.98650031,40.42743711
1084283,17209067,M,W,22,2017-10-29T02:19:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98330671,40.42868483
1084284,17209067,M,W,22,2017-10-29T02:18:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.98330671,40.42868483
1084285,17209084,F,W,23,2017-10-29T02:44:00,"600 Block STANWIX ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-80.00472552,40.44340213
1084286,17209092,M,W,20,2017-10-29T02:40:00,"80 Block S 16TH ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.98282599,40.42929438
1084287,17209248,M,W,41,2017-10-29T10:56:00,"1200 Block FEDERAL ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Central North Side,1,2206,1,1,-80.00648864,40.4560264
1084288,17209248,M,B,54,2017-10-29T10:56:00,"1200 Block FEDERAL ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Central North Side,1,2206,1,1,-80.00648864,40.4560264
1084289,17209480,F,B,36,2017-10-29T18:13:00,"1400 Block NIXON ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Manchester,1,2107,6,1,-80.02837836,40.45969167
1084290,17209609,M,W,28,2017-10-30T00:50:00,"1500 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98330671,40.42868483
1084291,17209662,M,W,28,2017-10-30T02:15:00,"E CARSON ST & S 12TH ST PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",South Side Flats,3,1702,3,3,-79.98642219,40.42874965
1084292,17209983,F,W,26,2017-10-29T01:40:00,"200 Block NORTH SHORE DR PITTSBURGH, PA ","3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",North Shore,1,2205,1,6,-80.00955477,40.4462843
1084293,17210610,M,B,41,2017-10-31T12:54:00,"500 Block LIBERTY AVE PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Business District,2,201,6,6,-80.00347705,40.44123457
1084294,17210610,M,B,52,2017-10-31T12:54:00,"500 Block LIBERTY AV PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Business District,2,201,6,6,-80.00347705,40.44123457
1084295,17210610,M,B,52,2017-10-31T12:54:00,"500 Block LIBERTY AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-80.00347705,40.44123457
1084296,17210646,M,B,60,2017-10-31T13:57:00,"2ND AV & GLEN CALADH ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Hazelwood,4,1515,5,3,-79.94384519,40.40915052
1084297,17210980,M,B,36,2017-10-31T23:14:00,"300 Block ROUP AV PITTSBURGH, PA ",5505 Public Drunkenness,Friendship,5,807,7,2,-79.93514569,40.46154974
1084298,17210980,M,B,36,2017-10-31T23:14:00,"300 Block ROUP AV PITTSBURGH, PA ",3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,Friendship,5,807,7,2,-79.93514569,40.46154974
1084299,17207766,M,B,23,2017-10-27T12:19:00,"WINFIELD ST & RAPIDAN WY PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Larimer,5,1204,9,2,-79.90944418,40.46423807
1084301,17203418,F,B,24,2017-10-21T00:50:00,"S 14TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98414574,40.42879918
1084302,17199002,M,W,29,2017-10-14T23:20:00,"LIBERTY TUN & SAW MILL RUN BL PITTSBURGH, PA ",5505 Public Drunkenness,Beltzhoover,3,1809,,,0,0
1084303,17203442,M,B,23,2017-10-21T01:15:00,"S 18TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.98056196,40.42875859
1084304,17208259,F,B,26,2017-10-28T00:20:00,"ALDER ST & MARYLAND AV PITTSBURGH, PA ",5505 Public Drunkenness,Shadyside,4,705,8,2,-79.93038723,40.45543106
1084305,17208259,F,B,26,2017-10-28T00:20:00,"ALDER ST & MARYLAND AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Shadyside,4,705,8,2,-79.93038723,40.45543106
1084306,17199950,M,B,21,2017-10-06T19:00:00,"100 Block BROADCREST DR PITTSBURGH, PA ","5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal",Lincoln-Lemington-Belmar,5,1201,9,2,-79.8889648,40.47412902
1084307,17201454,F,W,77,2017-10-06T20:00:00,"200 Block INSTITUTE ST PITTSBURGH, PA ","5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal",Bon Air,3,1806,4,5,-80.00174279,40.40926776
1084308,17208934,F,W,28,2017-10-29T23:18:00,"BINGHAM ST & BEDFORD SQ PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98621187,40.42942371
1084309,17208934,M,W,29,2017-10-29T23:18:00,"BINGHAM ST & BEDFORD SQ PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.98621187,40.42942371
